school_name,community_name,community_population,distance_km
GEMS World Academy,AL TWAR THIRD,10655,22.50112906316575
New Indian Model School,WADI AL SAFA 6 (ARABIAN RANCHES),18213,88.4489961586546
Horizon International Schoool,NAD SHAMMA,3124,24.2212804730782
Cambridge International School,TRADE CENTER SECOND,12218,33.95190802135436
GEMS FirstPoint School,AL BARSHA SOUTH FOURTH,25974,17.768123611835126
JSS International School,MARGAB,628,133.19228973727073
Japanese School in Dubai,AL YUFRAH 1,403,125.1300689100448
Crescent English School,AL KHEERAN,4982,49.67243612045052
Lycee Francais International School,AL GOZE IND. THIRD ,26656,49.12904697535845
Al Shorouq Private School,UM HURAIR SECOND,5328,32.060232462070076
International School of Arts and Sciences,AL QUSAIS IND. THIRD,2710,14.242626876549371
The City School International,AL SAFFA SECOND,6679,42.76317931529396
Delhi Private School Academy,MUHAISANAH FOURTH,34947,25.985631260660604
GEMS New Millennium School ,AL HEBIAH SECOND,1523,106.17131905749866
Victory Heights Primary School,AL GOZE IND. THIRD ,26656,73.02179033515986
Russian International School,AL SATWA,38991,25.25845541559753
Al Maaref Private School,HESSYAN FIRST,3492,58.21693611992164
Dubai Scholars Private School,AL ROWAIYAH THIRD,4429,98.5424991205333
Jumeirah English Speaking School,WARSAN FIRST,106072,93.29592697408314
Raffles World Academy,AL THANYAH FIRST (V. RABIE SAHRA'A),24834,68.23381160318404
Al Basateen Kindergarten - Al Khawaneej,AL DHAGAYA,15899,21.892388972857592
Apple International School,AL BAESHAA SECOND,15523,25.314908051639083
The Central School,HESSYAN SECOND,45,58.006004213752426
St Mary High Catholic School -branch,WADI AL SAFA 6 (ARABIAN RANCHES),18213,80.86009394317018
Dubai English Speaking College,UMM AL MO'MENEEN,309,115.8454189716151
Cambridge International School,ZAABEEL FIRST,3260,30.264346688381856
Kings' Dubai,AL WARQAA FIFTH ,60,79.11768405497052
Cambridge International School,AL MERYAL,754,99.51008986941972
The International School of Choueifat - Dubai,AL MURQABAT,69771,23.99465602809827
Rashid School for Boys,AL HEBIAH THIRD,6845,98.3904119472897
Kings' Al Barsha,AL QUSAIS IND FIFTH,1613,27.935616028791316
The Philippine School,MEREIYEEL,1119,100.5536210764317
National Charity School,WADI AL SAFA 4,2,86.89814169566678
Dubai National School - Al Barsha,AL BUTEEN,2841,21.353483009695342
Raffles International School - South Campus,ENKHALI,26,115.84524220393716
New Academy School,AL KHAWANEEJ TWO,4523,21.7676851010998
Gulf Indian High School,SAIH SHUAIB 2,14491,68.17013399664712
Ranches Primary School ,AL SAFFA FIRST,8514,61.309743227270296
Al Sadiq Islamic English School,WARSAN SECOND,1568,77.54624379862793
Collegiate American School,WARSAN FOURTH,8994,99.57427126830632
Ontario International Canadian School ,AL WARQAA FOURTH ,13452,57.1656018280925
Ambassador School,AL YUFRAH 3,4,120.6292666244996
Al Mawakeb School - Al Garhoud,SAIH SHUAIB 4,11170,69.30334513693208
Rajagiri International School,UM SUQAIM THIRD,7520,47.852295066087414
Dubai College,AL WASL,11555,57.62441091392917
Bilva Indian School ,AL THANYAH FIFTH (EMIRATE HILLS FIRST) ,40586,48.59219952382694
