school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,total_healthcare_facilities,nearest_metro_station,nearest_metro_distance_km,metro_within_1km,metro_within_2km,metro_within_5km,total_metro_stations,hospitals_within_5km,clinics_within_5km,pharmacies_within_5km,food_venues_within_5km,shopping_venues_within_5km,entertainment_venues_within_5km,accessibility_score,healthcare_accessibility_score,metro_accessibility_score,overall_urban_score,nearest_community,nearest_community_distance_km,nearest_community_population,communities_within_1km,communities_within_2km,communities_within_5km,population_within_1km,population_within_2km,population_within_5km,avg_distance_to_communities_km,community_accessibility_score,community_density_score,overall_community_score
Greenwood International School,Al Muhaisnah ,25.244239,55.4183,KG1-G12,1023.0,1992.0,UK,Greenwood International School,General Practice,0.0039270251611087,10,37,151,2312,Etisalat,2.098829216365047,0,0,30,540,0,3,2,3,3,3,1.2608683398834717,0.003,2.099,0.808,ABU HAIL,4.918032088817028,17240,0,0,1,0,0,17240,52.459894162696244,4.0,1.0,2.8
Gulf Indian High School,Al Garhoud,25.236617,55.349567,KG1-G12,2530.0,1979.0,Indian(CBSE),Gulf Indian High School,General Practice,0.0464193271981734,15,59,468,2312,Airport Terminal 1,1.3454845308257557,0,40,210,540,0,31,13,21,21,21,0.8258584493747227,0.037,1.211,1.037,AL REGA,0.2625730857277942,10480,2,5,13,10494,124301,273491,54.68797845578368,1.0,3.0,1.8000000000000003
Gulf Model School,Al Muhaisnah ,25.277317,55.407858,KG1-G12,3130.0,1982.0,Indian(CBSE),United International Pvt. School,Nursing,0.0650218993841774,11,23,160,2312,Etisalat,2.5962760021019555,0,0,50,540,0,4,3,5,5,5,1.5837743610148445,0.052,2.596,0.776,DUBAI  AIRPORT,5.047757255780398,22,0,0,0,0,0,0,50.66109178443248,5.0,1.0,3.4
His Highness Shaikh Rashid Al Maktoum Pakistani School,Al Qusais,25.28525,55.369953,KG1-G12,1549.0,1995.0,Pakistani,H.H. Shaikh Rashid Al Maktoum Pakistani School,General Practice,0.0402831513836954,35,95,229,2312,Stadium,1.180930127749779,0,40,120,540,0,14,5,12,12,12,0.7246713372033455,0.032,1.063,1.057,AL QUSAIS IND. SECOND,3.389783799770161,8834,0,0,11,0,0,294956,51.22418363101217,4.0,2.0,3.2
Horizon English School,Al Wasl,25.189889,55.250028,FS1-G5,654.0,1989.0,UK,Horizon English School,Family Medicine,0.053214067568295,15,125,490,2312,Business Bay,1.0567887596742318,0,10,50,540,0,29,5,5,5,5,0.6553588828318572,0.043,0.951,1.071,BURJ KHALIFA,2.5834882128399626,20477,0,0,8,0,0,88826,63.10932519546603,4.0,1.0,2.8
Institute of Applied Technology,Al Qusais,25.271156,55.396703,G9-G12,913.0,2005.0,IAT,Aster Hospital Br Of Aster Dm Healthcare FZC,Anesthesia,0.7122365751256382,6,56,193,2312,Al Qusais,1.3242010228961962,0,20,90,540,0,7,4,9,9,9,1.079415243787973,0.57,1.192,0.973,DUBAI  AIRPORT,3.7336292901721766,22,0,0,1,0,0,22,51.24482066850754,4.0,1.0,2.8
International Academic School,Al Warqaa ,25.186381,55.403486,KG1-G12,987.0,2006.0,MOE/US,International Academic School,General Practice,0.0386652996818138,13,31,108,2312,Rashidiya,5.029302278433929,0,0,0,540,0,1,0,0,0,0,3.0330474869330826,0.031,5.029,0.408,PORT SAEED,0.9426953246919262,13551,1,4,11,13551,36809,253407,56.8945755223969,1.8,2.0,1.8800000000000001
International School of Arts and Sciences,Al Warqaa ,25.189861,55.401889,KG1-G12,843.0,2006.0,US,VELCARE ORTHODONTIC & DENTAL CLINIC L.L.C,General Dentistry,0.2631246070032539,15,31,117,2312,Rashidiya,4.615117923878074,0,0,10,540,0,1,0,1,1,1,2.874320597128146,0.21,4.615,0.456,PORT SAEED,0.8024187886710906,13551,1,4,12,13551,99211,299592,56.64346328705604,1.8,3.0,2.2800000000000002
Islamic School for Education and Training,Al Muhaisnah,25.252208,55.416992,KG1-G11,718.0,1982.0,MOE,Islamic School For Traning and Education,General Practice,0.0303385129383743,8,28,169,2312,Etisalat,1.6332997242484557,0,10,40,540,0,3,2,4,4,4,0.992115239724423,0.024,1.47,0.873,DUBAI  AIRPORT,5.189484487013391,22,0,0,0,0,0,0,51.97630479266837,5.0,1.0,3.4
Japanese School in Dubai,Al Wasl,25.192697,55.254131,G1-G9,137.0,1980.0,Japanese,Japanese School,Nursing,0.0332289717232961,25,131,491,2312,Business Bay,0.6521181745839112,10,20,60,540,0,29,5,6,6,6,0.4045624934396651,0.027,0.522,1.12,BURJ KHALIFA,2.0999605604881806,20477,0,0,8,0,0,88826,62.647160157125356,4.0,1.0,2.8
