school_name,nearest_community,nearest_community_distance_km,nearest_community_population,communities_within_1km,communities_within_2km,communities_within_5km,population_within_1km,population_within_2km,population_within_5km,avg_distance_to_communities_km
The Elite English School,AL QUSAIS THIRD,0.9196951408454247,7162,1,5,22,7162,83495,297671,52.15985924368344
The English College - Dubai,BURJ KHALIFA,4.858813919640491,20477,0,0,1,0,0,20477,65.41391051640007
The Indian Academy,DUBAI  AIRPORT,2.1648639480598266,22,0,0,8,0,0,208429,52.274938822104936
The Indian High School,AYAL NASIR,1.9823208628913749,19280,0,1,19,0,19280,416594,55.95579285398132
The Indian High School - Branch,AL MURAR,0.5035987008333825,38970,2,4,22,89060,118820,543310,54.28639916007688
The Indian International School,AL MAMZER,8.764051319943224,14938,0,0,0,0,0,0,63.863951372820445
The International School of Choueifat - DIP,AL BARSHAA FIRST,15.169963420153252,39451,0,0,0,0,0,0,85.93835053306456
The International School of Choueifat - Dubai,AL BARSHAA FIRST,3.1307209927354194,39451,0,0,8,0,0,131088,74.33738825772272
The Kindergarten Starters,AL MURAR,0.3915337685248317,38970,2,4,22,89060,118820,543310,54.36524358145378
The Millennium School,AL QUSAIS IND. SECOND,3.068091164919954,8834,0,0,11,0,0,294956,51.24867783699109
The Oxford School,DUBAI  AIRPORT,4.844592133702622,22,0,0,1,0,0,22,50.56591297887552
The Philippine School,DUBAI  AIRPORT,2.9988752377382553,22,0,0,9,0,0,258766,52.88589040243132
Sheikh Rashid Bin Saeed Islamic Institute,JUMEIRA BAY,1.2379655784685906,39,0,7,8,0,68349,88826,60.09570239059506
The School of Research Science,AL WAHEDA,2.5936767087853196,20785,0,0,10,0,0,180746,55.2397853676473
The Sheffield Private School,AL QUSAIS IND FIFTH,3.9439770379446313,1613,0,0,9,0,0,236157,50.346214869133945
The Westminster School,DUBAI  AIRPORT,3.3719335947578046,22,0,0,10,0,0,98640,51.31325816812546
The Winchester School,AL BARSHAA FIRST,11.546415745086662,39451,0,0,0,0,0,0,83.19594973623519
Towheed Iranian School for Boys,BURJ KHALIFA,3.2276644392582843,20477,0,0,8,0,0,88826,63.829036462802044
Towheed Iranian School for Girls,AL TWAR FIRST,1.0870938646452264,11509,0,8,18,0,124776,404306,55.628563714196446
United International Private School,DUBAI  AIRPORT,5.121957254423758,22,0,0,0,0,0,0,50.64481376442479
Universal American School,AL MUTEENA,0.4016743927814768,46185,2,5,12,70932,147837,349818,55.1866216641218
Uptown School,PORT SAEED,2.3739949558276514,13551,0,0,11,0,0,253407,54.720278174172755
Delhi Private School Academy,AL GARHOUD,7.944431566885132,18535,0,0,0,0,0,0,64.2095013750443
GEMS New Millennium School ,AL BARSHAA FIRST,5.680231924244665,39451,0,0,0,0,0,0,67.86786798761172
Sabari Indian School ,AL QUSAIS THIRD,0.929069235823399,7162,2,5,22,16531,83495,297671,52.088839020321245
Springdales School,BURJ KHALIFA,5.706336909927262,20477,0,0,0,0,0,0,65.96258622778137
Victory Heights Primary School,AL BARSHAA FIRST,8.966537670129304,39451,0,0,0,0,0,0,77.57453409563846
Foremarke School,AL BARSHAA FIRST,5.5903803162298304,39451,0,0,0,0,0,0,72.48899840109326
International Concept for Education,BURJ KHALIFA,5.404913506443044,20477,0,0,0,0,0,0,63.26689876369864
GEMS Wellington Academy - Al Khail,AL BARSHAA FIRST,5.4000126006268,39451,0,0,0,0,0,0,68.06330769874964
Oasis School,BURJ KHALIFA,4.210185920947327,20477,0,0,8,0,0,88826,64.69305719274892
GEMS International School - Al Khail,AL BARSHAA FIRST,5.491215328884473,39451,0,0,0,0,0,0,68.0714627099867
Credence High School ,BURJ KHALIFA,5.587800699996027,20477,0,0,0,0,0,0,65.96722405081941
Bilva Indian School ,DUBAI  AIRPORT,2.7111616665695006,22,0,0,15,0,0,275274,51.72644087158382
GEMS FirstPoint School,AL GARHOUD,10.943909132338952,18535,0,0,0,0,0,0,66.3108913668234
Kings Nad Al Sheba,PORT SAEED,5.395796514262258,13551,0,0,0,0,0,0,60.40860248601437
Ontario International Canadian School ,AL KHBEESI,3.4680648280996214,1992,0,0,8,0,0,165574,53.88550613622051
Nord Anglia International School Dubai,AL BARSHAA FIRST,6.279221237432001,39451,0,0,0,0,0,0,74.86260164144595
Kings' Al Barsha,AL BARSHAA FIRST,5.815007153496394,39451,0,0,0,0,0,0,71.45079148904705
Gems Metropole School,AL BARSHAA FIRST,8.961863410272425,39451,0,0,0,0,0,0,75.83703526669626
Safa Community School,AL BARSHAA FIRST,7.433112203595747,39451,0,0,0,0,0,0,73.81380324453482
Dovecote Green Primary ,AL BARSHAA FIRST,13.758267724146236,39451,0,0,0,0,0,0,84.72057834927823
Capital School,DUBAI  AIRPORT,3.540684755009644,22,0,0,11,0,0,294956,51.20399946128851
Swiss International Scientifc School ,AL REGA,2.8680740575137134,10480,0,0,9,0,0,263506,56.67762941129638
Hartland Internaitnal School ,BURJ KHALIFA,2.1413649096429412,20477,0,0,8,0,0,88826,62.52198745244791
St Mary High Catholic School -branch,DUBAI  AIRPORT,5.2695184383654246,22,0,0,0,0,0,0,50.483887523457184
Dubai British School - Jumairah Park ,AL MEZHAR FIRST,8.484402364513365,16552,0,0,0,0,0,0,48.82399962738943
Ranches Primary School ,AL BARSHAA FIRST,11.462638852114171,39451,0,0,0,0,0,0,75.60840977841251
