school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,total_healthcare_facilities,nearest_metro_station,nearest_metro_distance_km,metro_within_1km,metro_within_2km,metro_within_5km,total_metro_stations,hospitals_within_5km,clinics_within_5km,pharmacies_within_5km,food_venues_within_5km,shopping_venues_within_5km,entertainment_venues_within_5km,accessibility_score,healthcare_accessibility_score,metro_accessibility_score,overall_urban_score
Nibras International School,Green Community,25.000017,55.171757,KG1-G12,854.0,2005.0,US,Al Nibras Private School,General Practice,0.0595808166933058,7,15,64,2312,Station R74,1.7278629398541063,0,10,60,540,0,2,1,6,6,6,1.0605500905897862,0.048,1.555,0.87
North American International School,Al Mizhar,25.236083,55.432139,KG1-G12,499.0,2007.0,US,North American International School L.L.C,General Practice,0.0743612822826409,28,54,113,2312,Etisalat,3.759992806134584,0,0,20,540,0,1,1,2,2,2,2.285740196593807,0.059,3.76,0.576
GEMS Our Own English High School,Al Warqaa ,25.193874,55.426669,KG1-G12,10169.0,1972.0,Indian(CBSE),Gems Our Own English High School,General Practice,0.0483707187122662,1,12,130,2312,Rashidiya,5.391673423107701,0,0,0,540,0,1,0,0,0,0,3.254352341349527,0.039,5.392,0.408
Our Own High School - Dubai,Al Warqaa,25.190892,55.400567,G1-G12,4734.0,2005.0,Indian(CBSE),VELCARE ORTHODONTIC & DENTAL CLINIC L.L.C,General Dentistry,0.4124959177462915,14,30,118,2312,Rashidiya,4.473813695256226,0,0,10,540,0,1,0,1,1,1,2.849286584252252,0.33,4.474,0.467
GEMS Our Own Indian School,Al Quoz,25.171781,55.260647,KG1-G12,3643.0,1991.0,Indian(CBSE),Our Own Indian School. School Clinic,General Practice,0.0468828641986121,8,75,408,2312,Business Bay,2.16770905962591,0,0,40,540,0,20,5,4,4,4,1.3193785814549903,0.038,2.168,0.938
Pakistan Education Academy,Umm Hurair,25.241917,55.316989,KG1-G12,1689.0,1973.0,Pakistani,Pakistan Education Acedemy,General Practice,0.0073506630485379,64,231,673,2312,Oud Metha,0.2205757304098616,10,50,240,540,0,59,16,24,24,24,0.1352857034653321,0.006,0.176,1.173
Philadelphia Private School,Al Muhaisnah,25.278906,55.402194,KG1-G12,1402.0,2006.0,US,Philadelphia Private School,General Practice,0.0918511689343554,17,37,162,2312,Al Qusais,2.335355685970523,0,0,60,540,0,5,3,6,6,6,1.4379538791560558,0.073,2.335,0.826
Pristine Private School,Al Nahda,25.293458,55.375039,FS1-G12,1529.0,1992.0,UK,Pristine Pvt. School,General Practice,0.0324879229735242,31,69,169,2312,Stadium,2.204924811256234,0,0,70,540,0,7,3,7,7,7,1.33595005594315,0.026,2.205,0.874
Queen International School,Hor Al Anz ,25.283108,55.348792,FS1-G11,1179.0,1998.0,UK,Queen International School,Nursing,0.0314346295703642,23,59,362,2312,Al Qiyadah,0.7249382464585375,20,30,170,540,0,18,6,17,17,17,0.4475367997032682,0.025,0.58,1.112
Raffles International School - South Campus,Umm Suqeim,25.136467,55.194503,FS1-G7,1267.0,2008.0,UK,Senses Residential and Day Care for Special Needs,General Practice,0.1622279874833478,42,119,348,2312,FGB,1.7299240330082244,0,20,50,540,0,14,7,5,5,5,1.1028456147982737,0.13,1.557,0.976
Raffles World Academy,Umm Suqeim,25.14035,55.196792,KG1-G12,1821.0,2008.0,UK/IB,Raffles World Academy Br Of Raffles International School L L C,General Practice,0.0771646271542766,61,131,345,2312,FGB,1.8832012364175172,0,10,50,540,0,13,7,5,5,5,1.160786592712221,0.062,1.695,0.951
