school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,nearest_metro_station,nearest_metro_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,metro_within_1km,metro_within_2km,metro_within_5km,accessibility_score
Jumeira Baccalaureate School,Jumeirah First,25.218637,55.259723,KG1-G12,823.0,2010.0,UK/IB,Jumeira Baccalaureate School-Br Of Taaleem Managment L.L.C,Nursing,0.12692037398441225,Financial Centre,1.8061804288246834,82,175,487,0,10,70,1.1344764068885749
Jumeirah College,Al Safa ,25.176394,55.235789,G6-G12,1110.0,2000.0,UK,Gems Jumeira Primary School,General Practice,0.24875820856131192,Noor Bank,2.4120268177629063,37,106,453,0,0,30,1.5467193740822687
Jumeirah English Speaking School,Al Safa ,25.179742,55.243147,FS1-G5,698.0,1976.0,UK,Jumeirah English Speaking School,Nursing,0.06876998651997655,Business Bay,2.1598331720278243,36,111,457,0,0,40,1.323407897824685
Jumeirah English Speaking School - Arabian Ranches,Arabian Ranches,25.056689,55.272661,FS1-G12,1370.0,2005.0,UK/IB,Jumeirah English Speaking School(Al Marabaa Al Rabaia),Family Medicine,0.07462994508471982,FGB,10.157475928187774,2,2,64,0,0,0,6.124337534946552
K12 International Academy,Knowledge Village,25.101772,55.160615,KG2-G12,344.0,2008.0,US,Smart Salem Medical Center 3 FZ LLC,Family Medicine,0.006030774747872262,Dubai Internet City,1.3262598962158048,8,44,276,0,20,60,0.7981682476286317
Khadija Al Kobra Iranian School for Girls,Al Karama,25.252825,55.307217,G1-G12,395.0,2000.0,Iranian,Iranian Towheed Girls School,Nursing,0.06814719156980148,BurJuman,0.3739925677797262,63,193,664,10,60,220,0.2516544172957563
Kings' Dubai,Umm Suqeim,25.135958,55.196242,FS1-G7,866.0,2004.0,UK,Dubai Kings Private School,Nursing,0.0584128441620055,FGB,1.5593904799478921,48,123,354,0,20,50,0.9589994256335375
Latifa School for Girls,Nad Al Sheba,25.149325,55.326118,KG1-G12,626.0,1982.0,UK,Al Futtaim Healthcare Single Person Company LLC - Company Clinic,General Practice,1.1213201141103462,Creek,7.8488139640607715,0,2,16,0,0,0,5.157816424080601
Little Flowers English School,Hor Al Anz,25.282439,55.336397,KG1-G6,947.0,1984.0,Indian(CBSE),Little Flower English School,Nursing,0.43907214123165295,Abu Hail,1.2749421057978891,11,52,414,0,30,190,0.9405941199713947
Lycee Francais International School,Dubai Academic City,25.241403,55.312731,KG1-G12,1948.0,2005.0,French,French International Private School,Nursing,0.054994028136744796,Oud Metha,0.4106542812877484,58,224,682,10,40,220,0.26839018002734694
Lycee Georges Pompidou High School,Dubai Academic City,25.104978,55.395858,G1-G12,1756.0,2005.0,French,Lycee Francais International Georges Pompidou,General Practice,0.0441666466366001,Creek,13.90700548984606,4,29,65,0,0,0,8.361869952562277
