school_name,location,latitude,longitude,type_of_school,grades,students,year_established,nearest_healthcare_name,nearest_healthcare_distance_km_x,nearest_metro_station,nearest_metro_distance_km_x,nearest_community,nearest_community_distance_km,healthcare_accessibility_tier,metro_accessibility_tier,community_accessibility_tier,performance_category,geographic_cluster_label,accessibility_category,comprehensive_accessibility_score,final_urban_score,healthcare_within_1km_x,metro_within_1km_x,communities_within_1km,population_within_1km
GEMS World Academy,Al Barsha ,25.082225,55.219567,IB,KG1-G12,1948.0,2008.0,GEMS WORLD ACADEMY NURSERY LLC,0.1255864258653477,Mashreq,4.630601861374188,AL BARSHAA FIRST,3.916141409760571,Excellent,Moderate,Moderate,High,Southern Cluster,Excellent,4.7,3.0516,2,0,0,0
Ambassador School,Al Mankhool,25.246326,55.288267,Indian(ICSE),G1-G10,695.0,2010.0,De Paris Medical Center(Dsc),0.2196471977712275,Abu Dhabi Commercial Bank,1.0191797962934437,AL TWAR FIRST,1.6258033079425231,Excellent,Good,Good,High,Northern Cluster,Excellent,4.4,3.0676,23,0,0,0
Grammar School,Al Garhoud,25.235469,55.351983,UK,FS1-G11,1041.0,1974.0,Grammar School,0.0613853419569177,Airport Terminal 3,1.3045047434857502,CORNICHE DEIRA,0.4364944479078938,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.8,2.6964,14,0,2,10494
Greenfield Community School,Green Community,24.983019,55.183838,IB,KG1-G12,1241.0,2007.0,GREENFIELD INTERNATIONAL SCHOOL,0.0445866464284319,Station R75,3.499426031827731,AL BARSHAA FIRST,14.633503549289117,Excellent,Moderate,Poor,High,Southern Cluster,Excellent,5.0,3.2512,1,0,0,0
Greenwood International School,Al Muhaisnah ,25.244239,55.4183,UK,KG1-G12,1023.0,1992.0,Greenwood International School,0.0039270251611087,Etisalat,2.098829216365047,ABU HAIL,4.918032088817028,Excellent,Moderate,Moderate,High,Eastern Cluster,Excellent,4.7,3.1432,10,0,0,0
Gulf Indian High School,Al Garhoud,25.236617,55.349567,Indian(CBSE),KG1-G12,2530.0,1979.0,Gulf Indian High School,0.0464193271981734,Airport Terminal 1,1.3454845308257557,AL REGA,0.2625730857277942,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.8,2.6948,15,0,2,10494
Gulf Model School,Al Muhaisnah ,25.277317,55.407858,Indian(CBSE),KG1-G12,3130.0,1982.0,United International Pvt. School,0.0650218993841774,Etisalat,2.5962760021019555,DUBAI  AIRPORT,5.047757255780398,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.3104,11,0,0,0
His Highness Shaikh Rashid Al Maktoum Pakistani School,Al Qusais,25.28525,55.369953,Pakistani,KG1-G12,1549.0,1995.0,H.H. Shaikh Rashid Al Maktoum Pakistani School,0.0402831513836954,Stadium,1.180930127749779,AL QUSAIS IND. SECOND,3.389783799770161,Excellent,Good,Moderate,High,Northern Cluster,Excellent,4.7,3.2428,35,0,0,0
Horizon English School,Al Wasl,25.189889,55.250028,UK,FS1-G5,654.0,1989.0,Horizon English School,0.053214067568295,Business Bay,1.0567887596742318,BURJ KHALIFA,2.5834882128399626,Excellent,Good,Moderate,High,Central Cluster,Excellent,4.7,3.2484,15,0,0,0
Institute of Applied Technology,Al Qusais,25.271156,55.396703,IAT,G9-G12,913.0,2005.0,Aster Hospital Br Of Aster Dm Healthcare FZC,0.7122365751256382,Al Qusais,1.3242010228961962,DUBAI  AIRPORT,3.7336292901721766,Good,Good,Moderate,High,Eastern Cluster,Excellent,4.7,3.2092,6,0,0,0
